category,Food_Name
膏,铁 瓮先生 琼玉膏
煎,地仙煎
煎,金髓煎
膏,天门冬膏
菜品,服天门冬
菜品,服地黄
菜品,服苍术
菜品,服茯苓
菜品,服远志
菜品,服五加皮酒
菜品,服桂
菜品,服松子
菜品,服松节酒
菜品,服槐实
菜品,服枸杞
菜品,服莲花
菜品,服栗子
菜品,服黄精
菜品,神枕法
菜品,服菖蒲
菜品,服胡麻
菜品,服五味
菜品,服藕实
菜品,服莲子莲蕊
菜品,服何首乌
菜品,生地黄鸡
膏,羊蜜膏
羹,羊藏羹
粥,羊骨粥
粥,羊脊骨粥
羹,白羊肾羹
粥,猪肾粥
粥,枸杞羊肾粥
羹,鹿肾羹
羹,羊肉羹
肉,羊肉羹
汤,鹿蹄汤
菜品,鹿角酒
煎,黑牛髓煎
汤,狐肉汤
肉,狐肉汤
汤,乌鸡汤
菜品,醍醐酒
菜品,山药
粥,山药粥
粥,酸枣粥
粥,生地黄粥
羹,椒面羹
面,椒面羹
粥,荜拨粥
粥,良姜粥
粥,吴茱萸粥
肉,牛肉脯
粥,莲子粥
粥,鸡头粥
羹,鸡头粉羹
粉,鸡头粉羹
粥,桃仁粥
粥,生地黄粥
羹,鲫鱼羹
面,炒黄面
面,乳饼面
饼,乳饼面
菜品,炙黄鸡
煎,牛奶子煎荜拨法
羹,肉羹
肉,肉羹
菜品,黄雌鸡
羹,青鸭羹
粥,萝卜粥
羹,野鸡羹
羹,鹁鸽羹
菜品,鸡子黄
羹,葵菜羹
汤,鲤鱼汤
粥,马齿菜粥
粥,小麦粥
羹,驴头羹
汤,驴肉汤
肉,驴肉汤
羹,狐肉羹
肉,狐肉羹
羹,熊肉羹
肉,熊肉羹
菜品,乌鸡酒
羹,羊肚羹
羹,葛粉羹
粉,葛粉羹
粥,荆芥粥
粥,麻子粥
菜品,恶实菜
汤,乌驴皮汤
菜品,羊头脍
菜品,野猪
羹,獭肝羹
羹,鲫鱼羹
浆,桂浆
浆,桂沉浆
膏,荔枝膏
菜品,梅子丸
汤,五味子汤
汤,人参汤
汤,仙术汤
汤,杏霜汤
汤,山药汤
汤,四和汤
汤,枣姜汤
汤,茴香汤
汤,破气汤
汤,白梅汤
汤,木瓜汤
汤,橘皮醒酲汤
饼,渴忒饼儿
饼,官桂渴忒饼儿
饼,答必纳饼儿
饼,橙香饼儿
膏,牛髓膏子
煎,木瓜煎
煎,香圆煎
煎,株子煎
煎,紫苏煎
煎,金橘煎
煎,樱桃煎
煎,桃煎
浆,石榴浆
煎,小石榴煎
菜品,五味子舍儿别
菜品,赤赤哈纳即酸刺
油,松子油
油,杏子油
油,酥油
油,醍醐油
油,马思哥油
茶,枸杞茶
茶,玉磨茶
茶,金字茶
茶,范殿帅茶
茶,紫笋雀舌茶
菜品,女须儿
茶,西番茶
茶,川茶、藤茶、夸茶
茶,燕尾茶
茶,孩儿茶
茶,温桑茶
茶,清茶
茶,炒茶
膏,兰膏
菜品,酥签
汤,建汤
茶,香茶
汤,马思吉汤
汤,大麦汤
汤,八儿不汤
汤,沙乞某儿汤
汤,苦豆汤
汤,木瓜汤
汤,鹿头汤
汤,松黄汤
汤,粆汤
粉,大麦算子粉
粉,大麦片粉
粉,糯米粉粉
羹,河羹
汤,阿菜汤
粉,鸡头粉雀舌子
粉,鸡头粉血粉
面,鸡头粉撅面
粉,鸡头粉撅面
粉,鸡头粉粉
粉,鸡头粉馄饨
馄饨,鸡头粉馄饨
馄饨,鸡头粉馄饨
羹,杂羹
羹,荤素羹
粉,珍珠粉
汤,黄汤
菜品,三下锅
羹,葵菜羹
汤,瓠子汤
汤,团鱼汤
菜品,盏蒸
羹,台苗羹
汤,熊汤
汤,鲤鱼汤
汤,炒野狼汤
菜品,围像
面,春盘面
羹,皂羹面
面,皂羹面
面,山药面
面,挂面
面,经带面
面,羊皮面
菜品,秃秃麻食
菜品,细水滑
菜品,水龙子
菜品,马乞
菜品,搠罗脱因
粥,乞马粥
汤,汤粥
粥,汤粥
粥,粱米淡粥
汤,河西米汤粥
粥,河西米汤粥
汤,撒速汤
菜品,炙羊心
菜品,炙羊腰
菜品,攒鸡儿
菜品,炒鹌鹑
菜品,盘兔
菜品,河西肺
菜品,姜黄腱子
菜品,鼓儿签子
菜品,带花羊头
菜品,鱼弹儿
菜品,芙蓉鸡
饼,派饼儿
菜品,盐肠
菜品,脑瓦剌
菜品,姜黄鱼
菜品,攒雁
菜品,猪头姜豉
菜品,蒲黄瓜齑
菜品,攒羊头
菜品,攒牛蹄
菜品,细乞思哥
菜品,肝生
菜品,马肚盘
菜品,炸䐑儿
菜品,熬蹄儿
菜品,熬羊胸子
菜品,鱼
菜品,红丝
菜品,烧雁
菜品,烧水札
菜品,柳蒸羊
馒头,仓馒头
馒头,仓馒头
馒头,鹿奶肪馒头
馒头,鹿奶肪馒头
馒头,茄子馒头
馒头,茄子馒头
馒头,剪花馒头
馒头,剪花馒头
菜品,水晶角儿
菜品,酥皮奄子
菜品,撇列角儿
菜品,莳萝角儿
菜品,天花包子
菜品,荷莲兜子
饼,黑子儿烧饼
饼,牛奶子烧饼
汤,颇儿必汤
菜品,米哈讷关列孙
