method,Food_Name
煮,铁 瓮先生 琼玉膏
煮,地仙煎
煮,金髓煎
熬,金髓煎
熬,天门冬膏
蒸,生地黄鸡
熬,羊蜜膏
煎,羊蜜膏
煮,羊藏羹
熬,羊骨粥
熬,羊脊骨粥
煮,白羊肾羹
煮,猪肾粥
煮,枸杞羊肾粥
熬,枸杞羊肾粥
煮,鹿肾羹
熬,羊肉羹
煮,鹿蹄汤
煎,黑牛髓煎
煮,狐肉汤
煮,乌鸡汤
煮,山药
煮,山药粥
煮,酸枣粥
煮,生地黄粥
熬,生地黄粥
煮,椒面羹
煮,荜拨粥
煮,良姜粥
煎,良姜粥
焙,牛肉脯
淹,牛肉脯
煮,莲子粥
煮,鸡头粥
煮,桃仁粥
煮,生地黄粥
煎,鲫鱼羹
煮,乳饼面
炙,炙黄鸡
煮,肉羹
煮,黄雌鸡
煮,青鸭羹
煮,萝卜粥
煮,鹁鸽羹
煮,葵菜羹
煮,鲤鱼汤
煮,马齿菜粥
煮,小麦粥
煮,驴头羹
煮,驴肉汤
煮,狐肉羹
煮,熊肉羹
煮,乌鸡酒
熬,乌鸡酒
煮,羊肚羹
煮,葛粉羹
煮,荆芥粥
煮,麻子粥
煮,恶实菜
煮,乌驴皮汤
蒸,乌驴皮汤
蒸,羊头脍
煮,野猪
煮,獭肝羹
煮,鲫鱼羹
熬,桂沉浆
熬,荔枝膏
熬,五味子汤
熬,人参汤
熬,答必纳饼儿
熬,木瓜煎
煎,木瓜煎
熬,香圆煎
煎,香圆煎
熬,株子煎
煎,株子煎
熬,紫苏煎
煎,紫苏煎
熬,金橘煎
煎,金橘煎
熬,樱桃煎
煎,樱桃煎
熬,桃煎
煎,桃煎
熬,石榴浆
煎,石榴浆
熬,小石榴煎
煎,小石榴煎
熬,五味子舍儿别
煎,五味子舍儿别
熬,赤赤哈纳即酸刺
熬,松子油
煮,杏子油
熬,杏子油
熬,酥油
熬,醍醐油
煎,醍醐油
焙,枸杞茶
煎,清茶
炒,炒茶
烧,炒茶
熬,香茶
熬,马思吉汤
熬,大麦汤
熬,八儿不汤
熬,沙乞某儿汤
熬,苦豆汤
熬,木瓜汤
熬,鹿头汤
炒,鹿头汤
熬,松黄汤
炒,松黄汤
熬,粆汤
熬,大麦算子粉
炒,大麦算子粉
熬,大麦片粉
熬,糯米粉粉
熬,河羹
炸,河羹
熬,阿菜汤
熬,鸡头粉雀舌子
炒,鸡头粉雀舌子
熬,鸡头粉血粉
炒,鸡头粉血粉
熬,鸡头粉撅面
炒,鸡头粉撅面
熬,鸡头粉粉
熬,鸡头粉馄饨
炒,鸡头粉馄饨
煮,杂羹
熬,杂羹
炒,杂羹
熬,荤素羹
煎,荤素羹
炒,荤素羹
熬,珍珠粉
煎,珍珠粉
炒,珍珠粉
熬,黄汤
熬,三下锅
熬,葵菜羹
炒,葵菜羹
熬,瓠子汤
炒,瓠子汤
煮,团鱼汤
熬,团鱼汤
炒,团鱼汤
蒸,盏蒸
炒,盏蒸
熬,台苗羹
淹,鲤鱼汤
熬,炒野狼汤
炒,围像
熬,皂羹面
淹,皂羹面
煮,山药面
炒,山药面
炒,秃秃麻食
炒,马乞
炒,搠罗脱因
熬,乞马粥
熬,汤粥
熬,粱米淡粥
熬,河西米汤粥
熬,撒速汤
炒,撒速汤
烧,撒速汤
炙,炙羊心
炙,炙羊腰
煮,攒鸡儿
炒,攒鸡儿
煮,炒鹌鹑
炒,炒鹌鹑
炒,盘兔
煮,河西肺
炸,姜黄腱子
煮,鼓儿签子
炸,鼓儿签子
炒,带花羊头
炸,鱼弹儿
炒,芙蓉鸡
炸,派饼儿
炸,盐肠
淹,姜黄鱼
炒,姜黄鱼
炸,姜黄鱼
炒,攒雁
熬,猪头姜豉
炒,猪头姜豉
炒,攒羊头
炒,攒牛蹄
炒,细乞思哥
炒,马肚盘
淹,炸䐑儿
炸,炸䐑儿
炒,熬蹄儿
炒,熬羊胸子
炒,鱼
烧,烧雁
蒸,烧水札
烧,烧水札
烧,柳蒸羊
蒸,茄子馒头
蒸,剪花馒头
蒸,天花包子
蒸,荷莲兜子
烧,黑子儿烧饼
烧,牛奶子烧饼
熬,颇儿必汤
